4RTKC, A, 4, 19, 19, inf
VCIBQ, A, 5, 6, 19, inf
4RTKC, A, 4, 19, 19, inf
VCIBQ, C, 5, 16, 19, inf
4RTKC, A, 4, 19, 19, inf
VCIBQ, D, 5, -2, 19, inf
4RTKC, A, 4, 19, 19, inf
VCIBQ, E, 5, 12, 19, inf
4RTKC, A, 4, 19, 19, inf
W427K, C, 5, 16, 19, inf
4RTKC, A, 4, 19, 19, inf
W427K, D, 5, -2, 19, inf
4RTKC, A, 4, 19, 19, inf
W427K, E, 5, 12, 19, inf
4RTKC, A, 4, 19, 19, inf
W427K, F, 5, 19, 19, inf
4RTKC, A, 4, 19, 19, inf
D3L1P, F, 3, 19, 6, 19
4RTKC, B, 4, -inf, 6, 19
J3L76, B, 5, 14, 6, 19
4RTKC, B, 4, 14, 14, 19
J3L76, C, 5, 29, 14, 19
4RTKC, B, 4, 29, 14, 19
D3L1P, F, 3, 19, 6, 19
4RTKC, C, 4, -inf, 6, 19
J3L76, B, 5, -3, 6, 19
4RTKC, C, 4, -3, 6, 19
J3L76, C, 5, 12, 6, 19
4RTKC, C, 4, 12, 12, 19
J3L76, D, 5, -6, 12, 19
4RTKC, C, 4, 12, 12, 19
J3L76, E, 5, 8, 12, 19
4RTKC, C, 4, 12, 12, 19
KCJ04, A, 5, 2, 12, 19
4RTKC, C, 4, 12, 12, 19
KCJ04, D, 5, -6, 12, 19
4RTKC, C, 4, 12, 12, 19
KCJ04, E, 5, 8, 12, 19
4RTKC, C, 4, 12, 12, 19
KCJ04, F, 5, 15, 12, 19
4RTKC, C, 4, 15, 15, 19
VCIBQ, A, 5, 2, 15, 19
4RTKC, C, 4, 15, 15, 19
VCIBQ, C, 5, 12, 15, 19
4RTKC, C, 4, 15, 15, 19
VCIBQ, D, 5, -6, 15, 19
4RTKC, C, 4, 15, 15, 19
VCIBQ, E, 5, 8, 15, 19
4RTKC, C, 4, 15, 15, 19
W427K, C, 5, 12, 15, 19
4RTKC, C, 4, 15, 15, 19
W427K, D, 5, -6, 15, 19
4RTKC, C, 4, 15, 15, 19
W427K, E, 5, 8, 15, 19
4RTKC, C, 4, 15, 15, 19
W427K, F, 5, 15, 15, 19
4RTKC, C, 4, 15, 15, 19
D3L1P, F, 3, 15, 6, 15
4RTKC, D, 4, -inf, 6, 15
J3L76, B, 5, 2, 6, 15
4RTKC, D, 4, 2, 6, 15
J3L76, C, 5, 17, 6, 15
4RTKC, D, 4, 17, 6, 15
D3L1P, F, 3, 15, 6, 15
4RTKC, E, 4, -inf, 6, 15
J3L76, B, 5, 12, 6, 15
4RTKC, E, 4, 12, 12, 15
J3L76, C, 5, 27, 12, 15
4RTKC, E, 4, 27, 12, 15
D3L1P, F, 3, 15, 6, 15
J3L76, B, 4, -inf, 6, 15
4RTKC, A, 5, 19, 6, 15
J3L76, B, 4, 19, 6, 15
D3L1P, F, 3, 15, 6, 15
J3L76, C, 4, -inf, 6, 15
4RTKC, A, 5, 2, 6, 15
J3L76, C, 4, 2, 6, 15
4RTKC, B, 5, -3, 6, 15
J3L76, C, 4, 2, 6, 15
4RTKC, C, 5, 12, 6, 15
J3L76, C, 4, 12, 12, 15
4RTKC, D, 5, -6, 12, 15
J3L76, C, 4, 12, 12, 15
4RTKC, E, 5, 8, 12, 15
J3L76, C, 4, 12, 12, 15
KCJ04, A, 5, 2, 12, 15
J3L76, C, 4, 12, 12, 15
KCJ04, C, 5, 12, 12, 15
J3L76, C, 4, 12, 12, 15
KCJ04, D, 5, -6, 12, 15
J3L76, C, 4, 12, 12, 15
KCJ04, E, 5, 8, 12, 15
J3L76, C, 4, 12, 12, 15
KCJ04, F, 5, 15, 12, 15
J3L76, C, 4, 15, 12, 15
D3L1P, F, 3, 15, 6, 15
J3L76, D, 4, -inf, 6, 15
4RTKC, A, 5, 7, 6, 15
J3L76, D, 4, 7, 7, 15
4RTKC, B, 5, 2, 7, 15
J3L76, D, 4, 7, 7, 15
4RTKC, C, 5, 17, 7, 15
J3L76, D, 4, 17, 7, 15
D3L1P, F, 3, 15, 6, 15
J3L76, E, 4, -inf, 6, 15
4RTKC, A, 5, 17, 6, 15
J3L76, E, 4, 17, 6, 15
D3L1P, F, 3, 15, 6, 15
KCJ04, A, 4, -inf, 6, 15
4RTKC, B, 5, 1, 6, 15
KCJ04, A, 4, 1, 6, 15
4RTKC, C, 5, 16, 6, 15
KCJ04, A, 4, 16, 6, 15
D3L1P, F, 3, 15, 6, 15
KCJ04, C, 4, -inf, 6, 15
4RTKC, A, 5, 2, 6, 15
KCJ04, C, 4, 2, 6, 15
4RTKC, B, 5, -3, 6, 15
KCJ04, C, 4, 2, 6, 15
4RTKC, D, 5, -6, 6, 15
KCJ04, C, 4, 2, 6, 15
4RTKC, E, 5, 8, 6, 15
KCJ04, C, 4, 8, 8, 15
J3L76, B, 5, -3, 8, 15
KCJ04, C, 4, 8, 8, 15
J3L76, C, 5, 12, 8, 15
KCJ04, C, 4, 12, 12, 15
J3L76, D, 5, -6, 12, 15
KCJ04, C, 4, 12, 12, 15
J3L76, E, 5, 8, 12, 15
KCJ04, C, 4, 12, 12, 15
VCIBQ, A, 5, 2, 12, 15
KCJ04, C, 4, 12, 12, 15
VCIBQ, C, 5, 12, 12, 15
KCJ04, C, 4, 12, 12, 15
VCIBQ, D, 5, -6, 12, 15
KCJ04, C, 4, 12, 12, 15
VCIBQ, E, 5, 8, 12, 15
KCJ04, C, 4, 12, 12, 15
W427K, D, 5, -6, 12, 15
KCJ04, C, 4, 12, 12, 15
W427K, E, 5, 8, 12, 15
KCJ04, C, 4, 12, 12, 15
W427K, F, 5, 15, 12, 15
KCJ04, C, 4, 15, 12, 15
D3L1P, F, 3, 15, 6, 15
KCJ04, D, 4, -inf, 6, 15
4RTKC, A, 5, 7, 6, 15
KCJ04, D, 4, 7, 7, 15
4RTKC, B, 5, 2, 7, 15
KCJ04, D, 4, 7, 7, 15
4RTKC, C, 5, 17, 7, 15
KCJ04, D, 4, 17, 7, 15
D3L1P, F, 3, 15, 6, 15
KCJ04, E, 4, -inf, 6, 15
4RTKC, A, 5, 17, 6, 15
KCJ04, E, 4, 17, 6, 15
D3L1P, F, 3, 15, 6, 15
KCJ04, F, 4, -inf, 6, 15
4RTKC, A, 5, -4, 6, 15
KCJ04, F, 4, -4, 6, 15
4RTKC, B, 5, -9, 6, 15
KCJ04, F, 4, -4, 6, 15
4RTKC, C, 5, 6, 6, 15
KCJ04, F, 4, 6, 6, 15
4RTKC, D, 5, -12, 6, 15
KCJ04, F, 4, 6, 6, 15
4RTKC, E, 5, 2, 6, 15
KCJ04, F, 4, 6, 6, 15
J3L76, B, 5, -9, 6, 15
KCJ04, F, 4, 6, 6, 15
J3L76, C, 5, 6, 6, 15
KCJ04, F, 4, 6, 6, 15
J3L76, D, 5, -12, 6, 15
KCJ04, F, 4, 6, 6, 15
J3L76, E, 5, 2, 6, 15
KCJ04, F, 4, 6, 6, 15
VCIBQ, A, 5, -4, 6, 15
KCJ04, F, 4, 6, 6, 15
VCIBQ, C, 5, 6, 6, 15
KCJ04, F, 4, 6, 6, 15
VCIBQ, D, 5, -12, 6, 15
KCJ04, F, 4, 6, 6, 15
VCIBQ, E, 5, 2, 6, 15
KCJ04, F, 4, 6, 6, 15
W427K, C, 5, 6, 6, 15
KCJ04, F, 4, 6, 6, 15
W427K, D, 5, -12, 6, 15
KCJ04, F, 4, 6, 6, 15
W427K, E, 5, 2, 6, 15
KCJ04, F, 4, 6, 6, 15
D3L1P, F, 3, 6, 6, 15
76AUB, B, 2, 6, 6, inf
J3L76, B, 3, inf, 6, inf
D3L1P, C, 4, -inf, 6, inf
4RTKC, A, 5, -16, 6, inf
D3L1P, C, 4, -16, 6, inf
4RTKC, B, 5, -21, 6, inf
D3L1P, C, 4, -16, 6, inf
4RTKC, D, 5, -24, 6, inf
D3L1P, C, 4, -16, 6, inf
4RTKC, E, 5, -10, 6, inf
D3L1P, C, 4, -10, 6, inf
4RTKC, F, 5, -3, 6, inf
D3L1P, C, 4, -3, 6, inf
